element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Kr	26	"0.69126"	""	""		"0"	"14466300"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<3/2>).3s.3d"	"(2,5/2)*"	"3/2"		""	"L9749"	
Kr	26	"0.69211"	"6"	""		"0"	"14448600"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<3/2>).3s.3d"	"(2,5/2)*"	"1/2"		""	"L9749"	
Kr	28	"0.69370"	"*"	""		"446440"	"14861900"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P<2>).3d"	"(2,3/2)"	"3/2"		""	"L9749"	
Kr	28	"0.69370"	"*"	""		"0"	"14412900"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).3s"	"(2,1/2)"	"3/2"		""	"L9749"	
Kr	28	"0.69444"	""	""		"0"	"14400100"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).3s"	"(2,1/2)"	"5/2"		""	"L9749"	
Kr	26	"0.69537"	"7"	""		"0"	"14376200"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<3/2>).3s.3d"	"(1,3/2)*"	"3/2"		""	"L9749"	
Kr	27	"0.69594"	"7"	""		"0"	"14369600"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).3d"	"(3/2,3/2)*"	"1"		""	"L9749"	
Kr	28	"0.6975"	""	""		"0"	"14337000"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<1>).3s"	"(1,1/2)"	"1/2"		""	"L4863"	
Kr	26	"0.69754"	""	""		"0"	"14336100"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<3/2>).3s.3d"	"(1,5/2)*"	"1/2"		""	"L9749"	
Kr	25	"0.69790"	""	""		"0"	"14328700"	"2p6.3s2"	"1S"	"0"	"2p5.3s2.3d"	"(3/2,5/2)*"	"1"		""	"L9749"	
Kr	28	"0.69900"	""	""		"0"	"14306200"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<1>).3s"	"(1,1/2)"	"3/2"		""	"L9749"	
Kr	28	"0.71218"	""	""		"0"	"14041400"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<0>).3s"	"(0,1/2)"	"1/2"		""	"L9749"	
Kr	28	"0.71600"	""	""		"446440"	"14412900"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D<2>).3s"	"(2,1/2)"	"3/2"		""	"L9749"	
Kr	28	"0.71923"	""	""		"0"	"13903800"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).3s"	"(2,1/2)"	"3/2"		""	"L9749"	
